Grapheme	IPA
hā́sikia̠li	h a a s i k i ɑ ɺ i
góe̠ripoe̠	g ɔ ɛ ɾ i p ɔ ɛ
áue̠pé̥lage̠	a w ɛ p ɨ ɺ a g ɛ
ayaté̠uahirikádyu	a j a t ɛ w a h i ɾ i k a dʒ u
aianámati	a j a n a m a t i
uahirikádyu	w a h i ɾ i k a dʒ u
ī́ṅinu	i i ŋ i n u
ḗge̥le	e e g ɨ ɺ e
ṓme̠	ɔ ɔ m ɛ
sikomé̠o	s i k ɔ m ɛ ɔ
íṅigobe̠ri	i ŋ i g ɔ b ɛ ɾ i
ṓme̠kope̠a	ɔ ɔ m ɛ k ɔ p ɛ a
dopakēyã́ã	d ɔ p a k e e j ã ã
uau	w a u
uaúa	w a u a
bē̥gé̥	b ɨ ɨ g ɨ
bé̥ge̥	b ɨ g ɨ
bé̥ike̥	b ɨ i k ɨ
bē̥ló	b ɨ ɨ ɺ ɔ
bé̥ga	b ɨ g a
bé̥iko	b ɨ i k ɔ
gamú	g a m u
dió	d i ɔ
yuxké̥ue̯x̯ka	j u h k ɨ w e h k a
hoá	h ɔ a
tā́lusulu	t a a ɺ u s u ɺ u
tx̯ḗ̠bola	tʃ ɛ ɛ b ɔ ɺ a
pū́puliki	p u u p u ɺ i k i
tx̯ḗ̠bo	tʃ ɛ ɛ b ɔ
umú	u m u
ómu	ɔ m u
ū́mua	u u m u a
hū́mu	h u u m u
gaxī́na	g a h i i n a
gaéi	g a e i
diai̯yoa	d i a i j ɔ a
kaúala	k a u a ɺ a
diayáu	d i a j a u
liayau̯	ɺ i a j a u
mālíyawii	m a a ɺ i j a w i i
maíyau̯e̠é̠	m a i j a w ɛ ɛ
yī́liuiia	j i i ɺ i w i i a
siuī́re̥	s i w i i ɾ ɨ
wiī́ue̯x̯ka	w i i i w e h k a
tsēmé	ts e e m e
tsimi	ts i m i
hē̠mé̠a	h ɛ ɛ m ɛ a
sé̠me̠	s ɛ m ɛ
sé̠'me̠	s ɛ ʔ m ɛ
uhú	u h u
úḥu	u h u
hṓḥu	h ɔ ɔ h u
goxháli	g ɔ h a ɺ i
ge̥latx̯ibe̥ai̯	g ɨ ɺ a tʃ i b ɨ a i
uyakóta	u j a k ɔ t a
uiakóta	u j a k ɔ t a
mohóliru	m ɔ h ɔ ɺ i ɾ u
pitatóti	p i t a t ɔ t i
butsíuahua	b u ts i w a h u a
tā́lusuba	t a a ɺ u s u b a
tx̯ḗ̠boya	tʃ ɛ ɛ b ɔ j a
he̠hḗ̠roka	h ɛ h ɛ ɛ ɾ ɔ k a
se̠sé̠ri	s ɛ s ɛ ɾ i
sḗ̠boya	s ɛ ɛ b ɔ j a
sḗ̠bo	s ɛ ɛ b ɔ
uex̯gó	w e h g ɔ
bṓgo	b ɔ ɔ g ɔ
pakóloka	p a k ɔ ɺ ɔ k a
soráko	s ɔ ɾ a k ɔ
uex̯kó	w e h k ɔ
yūmú	j u u m u
yau̯mía	j a u m i a
maá	m a a
máa	m a a
mā́re̥	m a a ɾ ɨ
yake̠tukúa	j a k ɛ t u k u a
yuxké̥de̥xkagaxtsī́ro	j u h k ɨ d ɨ h k a g a h ts i i ɾ ɔ
salikakoá	s a ɺ i k a k ɔ a
yé̠yo	j ɛ j ɔ
yḗ̠ru	j ɛ ɛ ɾ u
nūli	n u u ɺ i
nulía	n u ɺ i a
sínoni	s i n ɔ n i
maxsá	m a h s a
mā́sa	m a a s a
poe̠mahá	p ɔ ɛ m a h a
mā́tare̥	m a a t a ɾ ɨ
mása	m a s a
biá	b i a
bía	b i a
bíare̥	b i a ɾ ɨ
biátsuru	b i a ts u ɾ u
gex̯kéru	g e h k e ɾ u
buluái	b u ɺ u a i
tuia	t u j a
tsḗri	ts e e ɾ i
tsī́ria	ts i i ɾ i a
yuxké̥ke̥	j u h k ɨ k ɨ
taāpitualikeyapúa	t a a a p i t u a ɺ i k e j a p u a
piasá	p i a s a
ye̠x̯sé̠guikiri	j ɛ h s ɛ g u i k i ɾ i
ga'minotsā́lioxka	g a ʔ m i n ɔ ts a a ɺ i ɔ h k a
amukótoa	a m u k ɔ t ɔ a
amokótoa	a m ɔ k ɔ t ɔ a
ṓme̠tḗ̠ni	ɔ ɔ m ɛ t ɛ ɛ n i
tsē̠ná	ts ɛ ɛ n a
sī́ne	s i i n e
māruká	m a a ɾ u k a
máiroke̥	m a i ɾ ɔ k ɨ
sālía	s a a ɺ i a
moó	m ɔ ɔ
uáibe̥ge̥	w a i b ɨ g ɨ
piraíuaka	p i ɾ a i w a k a
uaíhāke̥	w a i h a a k ɨ
mūnyú	m u u ɲ u
múnyu	m u ɲ u
miopiká	m i ɔ p i k a
mā́i	m a a i
nyumálika	ɲ u m a ɺ i k a
moháuai	m ɔ h a w a i
gōlḗ̠ni	g ɔ ɔ ɺ ɛ ɛ n i
guulí	g u u ɺ i
keolḗ̠ye̥	k e ɔ ɺ ɛ ɛ j ɨ
okóne̠	ɔ k ɔ n ɛ
noolí	n ɔ ɔ ɺ i
ḳeolḗ̠yu	k e ɔ ɺ ɛ ɛ j u
nū́lina	n u u ɺ i n a
tsútsi	ts u ts i
huhía	h u h i a
tósi	t ɔ s i
súsiga	s u s i g a
súsi	s u s i
poé̠	p ɔ ɛ
diyóa	d i j ɔ a
yakotaḥī́re̥	j a k ɔ t a h i i ɾ ɨ
é̥ba	ɨ b a
nḗ̠katuru	n ɛ ɛ k a t u ɾ u
kuḥúlo	k u h u ɺ ɔ
be̠holéa	b ɛ h ɔ ɺ e a
nīmá	n i i m a
nimá	n i m a
namitagá	n a m i t a g a
pé̠tōre̥	p ɛ t ɔ ɔ ɾ ɨ
pé̠'tōre̥	p ɛ ʔ t ɔ ɔ ɾ ɨ
be̠hóa	b ɛ h ɔ a
úle̠tsika	u ɺ ɛ ts i k a
nyĩã́ẽdoxka	ɲ ĩ ã ẽ d ɔ h k a
nyẽã́ẽdoxka	ɲ ẽ ã ẽ d ɔ h k a
yaxbi	j a h b i
yápi	j a p i
ya'pía	j a ʔ p i a
yahĩ́re̥	j a h ĩ ɾ ɨ
yapía	j a p i a
nhī́po	n h i i p ɔ
gé̥lapoali	g ɨ ɺ a p ɔ a ɺ i
nūlipóa	n u u ɺ i p ɔ a
pūluitá	p u u ɺ u i t a
tāláuo̯li	t a a ɺ a w ɔ ɺ i
te̥xtáaitx̯é̥	t ɨ h t a a i tʃ ɨ
unúi	u n u i
liuḗ̠yie̠ká	ɺ i w ɛ ɛ j i ɛ k a
diuḗ̠diia	d i w ɛ ɛ d i i a d i i a
yē̠diage̥	j ɛ ɛ d i a g ɨ
yīdiaúe̥	j i i d i a w ɨ
yaihóaga	j a i h ɔ a g a
uai̯yumalie̠i	w a i j u m a ɺ i ɛ i
yī́diau̯e̥	j i i d i a w ɨ
hopóa	h ɔ p ɔ a
wādá	w a a d a
e̥lí	ɨ ɺ i
é̥li	ɨ ɺ i
īné̠	i i n ɛ
é̥'ne̠re̥	ɨ ʔ n ɛ ɾ ɨ
purúpuru	p u ɾ u p u ɾ u
yōmóloyū̠li	j ɔ ɔ m ɔ ɺ ɔ j ʊ ʊ ɺ i
yaé̠a	j a ɛ a
pamúkurumaka	p a m u k u ɾ u m a k a
e̥xtā́puru	ɨ h t a a p u ɾ u
e̥xtā́pulu	ɨ h t a a p u ɺ u
bū́yapoka	b u u j a p ɔ k a
puhúue̥é̥li	p u h u u ɨ ɨ ɺ i
poakau̯ía	p ɔ a k a w i a
ḥeḥópato	h e h ɔ p a t ɔ
taā́piuaho	t a a a p i w a h ɔ
yágaha	j a g a h a
uaxsagái	w a h s a g a i
uaḥolítamaka	w a h ɔ ɺ i t a m a k a
lu̠pu̠é̠meoka	ɺ ʊ p ʊ ɛ m e ɔ k a
de̥pu̠é̠meoka	d ɨ p ʊ ɛ m e ɔ k a
dé̠ko	d ɛ k ɔ
ókoa	ɔ k ɔ a
kṓtari	k ɔ ɔ t a ɾ i
buida	b u i d a
patuayá	p a t u a j a
omau̯alía	ɔ m a w a ɺ i a
pué̥mokiape̥	p u ɨ m ɔ k i a p ɨ
okónimi	ɔ k ɔ n i m i
kautu	k a u t u
kukúlate̠kua	k u k u ɺ a t ɛ k u a
kause̥	k a u s ɨ
dialiye̠	d i a ɺ i j ɛ
díau̯a	d i a w a
hoāká	h ɔ a a k a
síōle̠	s i ɔ ɔ ɺ ɛ
hoagá	h ɔ a g a
mahá	m a h a
háulaka	h a u ɺ a k a
hā́ru	h a a ɾ u
kalá	k a ɺ a
kā́la	k a a ɺ a
kúdyuiga	k u dʒ u i g a
kúyui̯	k u j u i
komḗ̠pi	k ɔ m ɛ ɛ p i
mānyé̠	m a a ɲ ɛ
gṓge̥	g ɔ ɔ g ɨ
yaputé̠koa	j a p u t ɛ k ɔ a
mẽápatole	m ẽ a p a t ɔ ɺ e
yatau̯iía	j a t a w i i a
mẽápatore	m ẽ a p a t ɔ ɾ e
diáye̠	d i a j ɛ
oe̠ní	ɔ ɛ n i
lítape̠nata	ɺ i t a p ɛ n a t a
heḥā́re̥āre̥	h e h a a ɾ ɨ a a ɾ ɨ
díaye̠	d i a j ɛ
dítape̠nata	d i t a p ɛ n a t a
ḥe̥ḥā́rāre̥	h ɨ h a a ɾ a a ɾ ɨ
pitóahoa	p i t ɔ a h ɔ a
apapulí	a p a p u ɺ i
gamauḗni	g a m a w e e n i
gamawḗni	g a m a w e e n i
u'kádyali	u ʔ k a dʒ a ɺ i
diá	d i a
diaya	d i a j a
diáka	d i a k a
lā́ya	ɺ a a j a
liáka	ɺ i a k a
muī́ya	m u i i j a
kālanyá	k a a ɺ a ɲ a
kálaka	k a ɺ a k a
kiárakia	k i a ɾ a k i a
nũṹ	n ũ ũ
náge̠	n a g ɛ
yapunikóa	j a p u n i k ɔ a
te̠tā́re̥	t ɛ t a a ɾ ɨ
ná'ge̠	n a ʔ g ɛ
boā́ya	b ɔ a a j a
lā́baika	ɺ a a b a i k a
pīrī́na	p i i ɾ i i n a
dā́baika	d a a b a i k a
bāyála	b a a j a ɺ a
bāyá	b a a j a
ópaie̥	ɔ p a j ɨ
axpíndieriru	a h p i n d i e ɾ i ɾ u
ué̠hāli	w ɛ h a a ɺ i
ue̠āxx̯ú	w ɛ a a h tʃ u
miué̠abe̠	m i w ɛ a b ɛ
hue̠uá	h u ɛ w a
gṓde̥xka	g ɔ ɔ d ɨ h k a
uaxtx̯ú	w a h tʃ u
oahoaté̠kua	ɔ a h ɔ a t ɛ k u a
uaxtú	w a h t u
uaxtx̯udi	w a h tʃ u d i
uḥabú	u h a b u
ue̠ai̯pái	w ɛ a i p a i
uē̠lopáy	w ɛ ɛ ɺ ɔ p a j e
kṓlike̠alo	k ɔ ɔ ɺ i k ɛ a ɺ ɔ
dix̯siku	d i h s i k u
liókaka	ɺ i ɔ k a k a
diókaka	d i ɔ k a k a
gúbutsu	g u b u ts u
sóhu	s ɔ h u
huúa	h u u a
kuhútohu	k u h u t ɔ h u
tokálaga	t ɔ k a ɺ a g a
bī́kali	b i i k a ɺ i
yãĩmẽã	j ã ĩ m ẽ ã
mẽ́ã	m ẽ ã
me̠káka	m ɛ k a k a
mḗ̠'kiari	m ɛ ɛ ʔ k i a ɾ i
kāyá	k a a j a
uaitsipulu	w a i ts i p u ɺ u
uáíté̥te̥	w a i t ɨ t ɨ
uaititía	w a i t i t i a
uairasḗ̠re̥	w a i ɾ a s ɛ ɛ ɾ ɨ
kóle̠oabu	k ɔ ɺ ɛ ɔ a b u
koápalaka	k ɔ a p a ɺ a k a
mū́ni	m u u n i
múni	m u n i
axpinóto	a h p i n ɔ t ɔ
uaxpĩ́ȭpe̠	w a h p ĩ ɔ̃ ɔ̃ p ɛ
uaxpíniakoa	w a h p i n i a k ɔ a
símaḥē̠re̥	s i m a h ɛ ɛ ɾ ɨ
kirī́kapunyuto	k i ɾ i i k a p u ɲ u t ɔ
ī́yāli	i i j a a ɺ i
pē̠mātx̯é̥	p ɛ ɛ m a a tʃ ɨ
hṓkiaa	h ɔ ɔ k i a a
pē̠māx̯ú	p ɛ ɛ m a a tʃ u
yapuliká	j a p u ɺ i k a
yéāli	j e a a ɺ i
e̠ālí	ɛ a a ɺ i
yex̯sébe̠ré̠no	j e h s e b ɛ ɾ ɛ n ɔ
se̥sáma	s ɨ s a m a
pítánanalika	p i t a n a n a ɺ i k a
sihā́tiri	s i h a a t i ɾ i
tsapé̠ualalalika	ts a p ɛ w a ɺ a ɺ a ɺ i k a
se̥xsé̥	s ɨ h s ɨ
tsapé̠ualalanika	ts a p ɛ w a ɺ a ɺ a n i k a
pitálalalika	p i t a ɺ a ɺ a ɺ i k a
āróa	a a ɾ ɔ a
pē̠yúpe̠ru̠	p ɛ ɛ j u p ɛ ɾ ʊ
uabḗ̠ro	w a b ɛ ɛ ɾ ɔ
nyīkáome̠	ɲ i i k a ɔ m ɛ
ge̥láui̯ri	g ɨ ɺ a w i ɾ i
yāmúi	j a a m u i
ītá	i i t a
oké̥ta	ɔ k ɨ t a
yex̯sálipe̥ali	j e h s a ɺ i p ɨ a ɺ i
pe̠áyēri	p ɛ a j e e ɾ i
yoā́be̠a	j ɔ a a b ɛ a
ye̠é̠ua	j ɛ ɛ w a
kū́ne̠	k u u n ɛ
pe̠áyeri	p ɛ a j e ɾ i
pe̠agóp̌eka	p ɛ a g ɔ ɸ e k a
pé̠kayape̠	p ɛ k a j a p ɛ
he̠kiaiē̠re̥	h ɛ k i a j ɛ ɛ ɾ ɨ
komẽ́pero	k ɔ m ẽ p e ɾ ɔ
dikagúu	d i k a g u u
hihóa	h i h ɔ a
sikiakóme̠no	s i k i a k ɔ m ɛ n ɔ
komeẽ́pero	k ɔ m e ẽ p e ɾ ɔ
uayume̠ká	w a j u m ɛ k a
tsiū́puli	ts i u u p u ɺ i
naxtsíkame	n a h ts i k a m e
nasíga	n a s i g a
náhokaga	n a h ɔ k a g a
nā́sikiali	n a a s i k i a ɺ i
yuxké̥puli	j u h k ɨ p u ɺ i
yapumaxkanaká	j a p u m a h k a n a k a
dōlekéyanima	d ɔ ɔ ɺ e k e j a n i m a
tū́dye̥	t u u dʒ ɨ
hī́niu̯	h i i n i u
ikū́lii	i k u u ɺ i i
be̥katū́dye̥	b ɨ k a t u u dʒ ɨ
be̥katū́dy	b ɨ k a t u u dʒ i
bāyā́li	b a a j a a ɺ i
niháma	n i h a m a
áo	a ɔ
síkoako	s i k ɔ a k ɔ
yépuibo	j e p u i b ɔ
doā́li	d ɔ a a ɺ i
dóāx̯u	d ɔ a a tʃ u
miyúabe̠	m i j u a b ɛ
ú̠ru̠ha	ʊ ɾ ʊ h a
gaxtsī́ro	g a h ts i i ɾ ɔ
yagā́ti	j a g a a t i
áḥe̠a	a h ɛ a
siráso	s i ɾ a s ɔ
ēme̥tsi	e e m ɨ ts i
ue̠sé̠	w ɛ s ɛ
īmía	i i m i a
ne̥mé̥lokē̠ri	n ɨ m ɨ ɺ ɔ k ɛ ɛ ɾ i
ne̥'mé̥lokē̠ri	n ɨ ʔ m ɨ ɺ ɔ k ɛ ɛ ɾ i
kāníni	k a a n i n i
kālíni	k a a ɺ i n i
uiuahoa	u j u a h ɔ a
tsamaapiáe̠ka	ts a m a a p i a ɛ k a
kē̠rá	k ɛ ɛ ɾ a
puúa	p u u a
hṓta	h ɔ ɔ t a
ãmĩĩ́ã	ã m ĩ ĩ ã
kúpai̯ka	k u p a i k a
yṓhe̠	j ɔ ɔ h ɛ
siā́ya	s i a a j a
mohótolipagage̥	m ɔ h ɔ t ɔ ɺ i p a g a g ɨ
būlutx̯í	b u u ɺ u tʃ i
burúa	b u ɾ u a
pṓrokiasi	p ɔ ɔ ɾ ɔ k i a s i
būluti	b u u ɺ u t i
oyobe̥gé̥	ɔ j ɔ b ɨ g ɨ
kóalu	k ɔ a ɺ u
kóamãẽ	k ɔ a m ã ẽ
pé̠takomakanaka	p ɛ t a k ɔ m a k a n a k a
kṓrokolei̯kia	k ɔ ɔ ɾ ɔ k ɔ ɺ e i k i a
kóāru	k ɔ a a ɾ u
ókopukluaua	ɔ k ɔ p u k u ɺ u a w a
de̥té̥	d ɨ t ɨ
kāmhálu	k a a m h a ɺ u
muhúua̯tsutsī́ge̥le̥	m u h u u a ts u ts i i g ɨ ɺ ɨ
pitatī́tiaka	p i t a t i i t i a k a
simáu̠kiakio̯	s i m a ʊ k i a k i ɔ
pé̠uaga	p ɛ w a g a
pāmúpoka	p a a m u p ɔ k a
be̥xbé̥bogabu	b ɨ h b ɨ b ɔ g a b u
bikalípe̠pe̠makanaka	b i k a ɺ i p ɛ p ɛ m a k a n a k a
yairó	j a i ɾ ɔ
de̥li	d ɨ ɺ i
pulítsio̯ka	p u ɺ i ts i ɔ k a
uihíāli	w i h i a a ɺ i
ōmú	ɔ ɔ m u
bū́yi	b u u j i
ōmákaka	ɔ ɔ m a k a k a
ē̠ke̠ápiāri	ɛ ɛ k ɛ a p i a a ɾ i
mūnuhū́li	m u u n u h u u ɺ i
midyī́be̠	m i dʒ i i b ɛ
tsei	ts e i
kobé̠raka	k ɔ b ɛ ɾ a k a
bīnú	b i i n u
háya	h a j a
pīnú	p i i n u
hātsíali	h a a ts i a ɺ i
axtí	a h t i
yihātsī́yu	j i h a a ts i i j u
huhasí	h u h a s i
yihātsī́ye̥	j i h a a ts i i j ɨ
ui̯híniseneno	w i h i n i s e n e n ɔ
mé̥la	m ɨ ɺ a
mī́nouīnukia	m i i n ɔ w i i n u k i a
me̥nosé̠kia	m ɨ n ɔ s ɛ k i a
ṓle̠ni	ɔ ɔ ɺ ɛ n i
mū̠nu̠ui̯hīnimúka	m ʊ ʊ n ʊ w i h i i n i m u k a
mi'nóa	m i ʔ n ɔ a
me̥nṓre̥	m ɨ n ɔ ɔ ɾ ɨ
me̥lapuhúaye̥	m ɨ ɺ a p u h u a j ɨ
mīnokóa	m i i n ɔ k ɔ a
ṓbe̥ge̥	ɔ ɔ b ɨ g ɨ
dūlía	d u u ɺ i a
nīnī́na	n i i n i i n a
pīliá	p i i ɺ i a
pṓnaka	p ɔ ɔ n a k a
ābé̠	a a b ɛ
tsīnĩe	ts i i n ĩ e
gubū́kore̠	g u b u u k ɔ ɾ ɛ
ūputótia	u u p u t ɔ t i a
uaipe̥	w a i p ɨ
kúlidi	k u ɺ i d i
ku̠liriká	k ʊ ɺ i ɾ i k a
kúai̯	k u a i
uátiuáage̥	w a t i w a a g ɨ
pōpaká	p ɔ ɔ p a k a
ūlía	u u ɺ i a
ue̠ré̠niṅini	w ɛ ɾ ɛ n i ŋ i n i
be̥xpé̥	b ɨ h p ɨ
bé̥be̥	b ɨ b ɨ
pipía	p i p i a
héhe	h e h e
uahúa	w a h u a
uahupíy	w a h u p i j e
yamadiage̥	j a m a d i a g ɨ
be̠tániama	b ɛ t a n i a m a
ya'másio	j a ʔ m a s i ɔ
nĩĩní	n ĩ ĩ n i
nīiní	n i i i n i
nḗ̠yaxka	n ɛ ɛ j a h k a
yoḳóro	j ɔ k ɔ ɾ ɔ
yákoḥe̠	j a k ɔ h ɛ
yokólo	j ɔ k ɔ ɺ ɔ
tā'pía	t a a ʔ p i a
yoxkólo	j ɔ h k ɔ ɺ ɔ
oáme̠naga	w a m ɛ n a g a
dūhame̠né̠	d u u h a m ɛ n ɛ
yuxtsé̠ni	j u h ts ɛ n i
ānyá	a a ɲ a
é̥nya	ɨ ɲ a
ākisiká	a a k i s i k a
híatoli	h i a t ɔ ɺ i
yau̯ālaká	j a w a a ɺ a k a
tsayauā́naga	ts a j a w a a n a g a
tsayauā́laga	ts a j a w a a ɺ a g a
e̥xtá	ɨ h t a
é̥le̥	ɨ ɺ ɨ
ā́ta	a a t a
síḥu	s i h u
yēlékume	j e e ɺ e k u m e
ā́takome̠a	a a t a k ɔ m ɛ a
tsē̠ró	ts ɛ ɛ ɾ ɔ
dóama	d ɔ a m a
dúpalikumúa	d u p a ɺ i k u m u a
ká̠u	k ɑ u
lúpalikumúa	ɺ u p a ɺ i k u m u a
kōlimatá	k ɔ ɔ ɺ i m a t a
gālálu	g a a ɺ a ɺ u
gā́la	g a a ɺ a
hōtía	h ɔ ɔ t i a
gāráru	g a a ɾ a ɾ u
pḗ̠yalĩe	p ɛ ɛ j a ɺ ĩ e
pā́i	p a a i
mihipáhe̠	m i h i p a h ɛ
kope̠ki	k ɔ p ɛ k i
hotá	h ɔ t a
kuikánoa	k u i k a n ɔ a
aué̠	a w ɛ
ihía	i h i a
hā́'ia	h a a ʔ j a
awé̠	a w ɛ
aiyagá	a i j a g a
yuxke̥tsíruii	j u h k ɨ ts i ɾ u i i
tsumúsero	ts u m u s e ɾ ɔ
mīnóa	m i i n ɔ a
síkoliga	s i k ɔ ɺ i g a
yehátsirigoali	j e h a ts i ɾ i g ɔ a ɺ i
ihíui̯tsia	i h i w i ts i a
ye̠x̯sé̠	j ɛ h s ɛ
sé̠se̠talage̥	s ɛ s ɛ t a ɺ a g ɨ
he̠hé̠a	h ɛ h ɛ a
sḗ̠se̠	s ɛ ɛ s ɛ
uauáka	w a w a k a
diḗypōleru	d i e e j i p ɔ ɔ ɺ e ɾ u
bī́e̥le̥	b i i ɨ ɺ ɨ
uaipikóa	w a i p i k ɔ a
uex̯kópōleru	w e h k ɔ p ɔ ɔ ɺ e ɾ u
bíṅe̥le	b i ŋ ɨ ɺ e
ye̠x̯sé̠puru	j ɛ h s ɛ p u ɾ u
hē̠kápe̠raga	h ɛ ɛ k a p ɛ ɾ a g a
liáme̥kiatu	ɺ i a m ɨ k i a t u
ye̠x̯sé̠pulu	j ɛ h s ɛ p u ɺ u
sé̠se̠buti	s ɛ s ɛ b u t i
ue̠ré̠nĩĩni	w ɛ ɾ ɛ n ĩ ĩ n i
mīni	m i i n i
mē̠né̠	m ɛ ɛ n ɛ
mé̠'ne̠re̥	m ɛ ʔ n ɛ ɾ ɨ
uē̠rá	w ɛ ɛ ɾ a
uē̠lá	w ɛ ɛ ɺ a
uex̯ké̥	w e h k ɨ
uike̥	w i k ɨ
uai̯bikínaga	w a i b i k i n a g a
ué̠ke̥	w ɛ k ɨ
malákaka	m a ɺ a k a k a
kṓlex̯ko	k ɔ ɔ ɺ e h k ɔ
yakókaka	j a k ɔ k a k a
kṓrex̯ko	k ɔ ɔ ɾ e h k ɔ
wā́dali	w a a d a ɺ i
yē̠nyía	j ɛ ɛ ɲ i a
būluá	b u u ɺ u a
bū́lu	b u u ɺ u
butúa	b u t u a
pṓru	p ɔ ɔ ɾ u
axpinotóyeri	a h p i n ɔ t ɔ j e ɾ i
uapítie̥le̥	w a p i t i ɨ ɺ ɨ
uaxpiniakoliá	w a h p i n i a k ɔ ɺ i a
simaḥā́liāre̥	s i m a h a a ɺ i a a ɾ ɨ
oḗ̠du	ɔ ɛ ɛ d u
tsē̠oá	ts ɛ ɛ ɔ a
uāyá	w a a j a
kúikoīre̥	k u i k ɔ i i ɾ ɨ
hahía	h a h i a
liákahulū́ye̥	ɺ i a k a h u ɺ u u j ɨ
diákahulū́yu	d i a k a h u ɺ u u j u
tsōgé̠	ts ɔ ɔ g ɛ
lá	ɺ a
itóna	i t ɔ n a
tṓhone̠	t ɔ ɔ h ɔ n ɛ
ṓge	ɔ ɔ g e
īná	i i n a
e̥dyé̥	ɨ dʒ ɨ
ī'ná	i i ʔ n a
yáhaāre̥	j a h a a a ɾ ɨ
goxsó	g ɔ h s ɔ
ge̥tx̯á	g ɨ tʃ a
dihóa	d i h ɔ a
siritu̠	s i ɾ i t ʊ
lihóa	ɺ i h ɔ a
gāgúāmi	g a a g u a a m i
diimé̥	d i i m ɨ
gūnyabirikā́	g u u ɲ a b i ɾ i k a a
uērériru	w e e ɾ e ɾ i ɾ u
yagókokoa	j a g ɔ k ɔ k ɔ a
uame̥tósia	w a m ɨ t ɔ s i a
siuaḥé̥toro	s i w a h ɨ t ɔ ɾ ɔ
potá	p ɔ t a
be̠ṓli	b ɛ ɔ ɔ ɺ i
koatx̯ā́etx̯e̥	k ɔ a tʃ a a e tʃ ɨ
miuayatábe̠	m i w a j a t a b ɛ
okū́lia	ɔ k u u ɺ i a
ūé̥liru	u u ɨ ɺ i ɾ u
pitapákoaka	p i t a p a k ɔ a k a
buxpúpāgumī́na	b u h p u p a a g u m i i n a
ue̥papabíke̥	w ɨ p a p a b i k ɨ
ui̯póhaiga	w i p ɔ h a i g a
mé̥ḥo	m ɨ h ɔ
mé̥'ḥo	m ɨ ʔ h ɔ
paíuaga	p a i w a g a
de̠hé̠	d ɛ h ɛ
uai̯bikinṓliaka	w a i b i k i n ɔ ɔ ɺ i a k a
mākiáse̠he̥	m a a k i a s ɛ h ɨ
dī́riri	d i i ɾ i ɾ i
mīá	m i i a
e̠omix̯sí	ɛ ɔ m i h s i
ē̠nyamihia	ɛ ɛ ɲ a m i h i a
saítakurse̥	s a i t a k u ɾ s ɨ
kau̯hanikía	k a u h a n i k i a
tā́lobe̥ge̥	t a a ɺ ɔ b ɨ g ɨ
ue̠uálu	w ɛ w a ɺ u
ululū́líka	u ɺ u ɺ u u ɺ i k a
kṓroro	k ɔ ɔ ɾ ɔ ɾ ɔ
ululū́rika	u ɺ u ɺ u u ɾ i k a
mū̠nú̠	m ʊ ʊ n ʊ
minó	m i n ɔ
mé̥lapu	m ɨ ɺ a p u
kā́de̥xka	k a a d ɨ h k a
pé̠la	p ɛ ɺ a
patáka	p a t a k a
hā́ta	h a a t a
pé̠ra	p ɛ ɾ a
dopã́ã	d ɔ p ã ã
ī́ne̥	i i n ɨ
īnimí	i i n i m i
íne̥me̥	i n ɨ m ɨ
do'pã́ã	d ɔ ʔ p ã ã
gubū́tsinidix̯pelu	g u b u u ts i n i d i h p e ɺ u
gé̥apauatx̯u	g ɨ a p a w a tʃ u
ūpúahoa	u u p u a h ɔ a
sikoxúio	s i k ɔ h u j ɔ
gubū́tsinidix̯peru	g u b u u ts i n i d i h p e ɾ u
ge̥apáuasu	g ɨ a p a w a s u
ōpúaḥoa	ɔ ɔ p u a h ɔ a
gé̥apauatu	g ɨ a p a w a t u
gubū́tsepē̠roli	g u b u u ts e p ɛ ɛ ɾ ɔ ɺ i
gé̥apagati	g ɨ a p a g a t i
mamálaḥe̠	m a m a ɺ a h ɛ
nḗ̠riru	n ɛ ɛ ɾ i ɾ u
nē̠nóke̠ka	n ɛ ɛ n ɔ k ɛ k a
siáme̠lako	s i a m ɛ ɺ a k ɔ
dṓlo	d ɔ ɔ ɺ ɔ
guhī́kuli	g u h i i k u ɺ i
goxpé̠ga	g ɔ h p ɛ g a
ōpía	ɔ ɔ p i a
síkoḥiri	s i k ɔ h i ɾ i
góxpe̠ga	g ɔ h p ɛ g a
me̥pe̥lí	m ɨ p ɨ ɺ i
bē̠yó	b ɛ ɛ j ɔ
pā́li	p a a ɺ i
pále̠kika	p a ɺ ɛ k i k a
ḥā́re̥	h a a ɾ ɨ
naxtsí	n a h ts i
yā́si	j a a s i
naḥé̠a	n a h ɛ a
dṓki	d ɔ ɔ k i
maxká	m a h k a
yaue̠sé̠	j a w ɛ s ɛ
māká	m a a k a
doé̠	d ɔ ɛ
dix̯sipialítse̠	d i h s i p i a ɺ i ts ɛ
hāapālóa	h a a a p a a ɺ ɔ a
yuxké̥tsiru	j u h k ɨ ts i ɾ u
kumú	k u m u
kumóa	k u m ɔ a
kóōre̥	k ɔ ɔ ɔ ɾ ɨ
ūbá	u u b a
ubá	u b a
yuxké̥ge̥	j u h k ɨ g ɨ
yábu	j a b u
yapúa	j a p u a
tṓke̥	t ɔ ɔ k ɨ
buyá	b u j a
pohá	p ɔ h a
ḥe̥ḥóḥoire̥	h ɨ h ɔ h ɔ i ɾ ɨ
uitóa	w i t ɔ a
yoxkápolani	j ɔ h k a p ɔ ɺ a n i
yóka	j ɔ k a
