Grapheme	IPA
tsī́puli	ts i i p u ɺ i
mexságaxki	m e h s a g a h k i
take̠bóe̠a	t a k ɛ b ɔ ɛ a
ulé̠raka	u ɺ ɛ ɾ a k a
nyĩṅáliru	ɲ ĩ ŋ a ɺ i ɾ u
õãdiíle̥	ɔ̃ ã d i i ɺ ɨ
nyikalíye̠	ɲ i k a ɺ i j ɛ
ṹẽdiíle̥	w̃ ẽ d i i ɺ ɨ
nyikalíiye̠	ɲ i k a ɺ i i j ɛ
pīyū́li	p i i j u u ɺ i
kāgakáue̯	k a a g a k a w ɛ
kanirú	k a n i ɾ u
gaxkí	g a h k i
kākí	k a a k i
take̠á	t a k ɛ a
táki	t a k i
diaúex̯ke̥	d i a w e h k ɨ
diau̯ike̥	d i a w i k ɨ
ke̠húa	k ɛ h u a
ké̠tu	k ɛ t u
ke̠húe	k ɛ h u e
ké̠'tu	k ɛ ʔ t u
gōnoi̯yá	g ɔ ɔ n ɔ i j a
ge̥lāyí	g ɨ ɺ a a j i
kḗ̠naka	k ɛ ɛ n a k a
kiámikolire̥	k i a m i k ɔ ɺ i ɾ ɨ
muhí	m u h i
muía	m u i a
dex̯kónaxsi	d e h k ɔ n a h s i
díayasi	d i a j a s i
kā́dyue̠ka	k a a dʒ u ɛ k a
kíai̯ua	k i a j u a
púibu	p u i b u
pé̥i	p ɨ i
piía	p i i a
óatu	ɔ a t u
pī́re̠a	p i i ɾ ɛ a
be̠hóia	b ɛ h ɔ j a
te̠ube̠uíya	t ɛ u b ɛ w i j a
pitsána	p i ts a n a
bex̯gá	b e h g a
āki	a a k i
mūlía	m u u ɺ i a
uáso	w a s ɔ
ōpire̠kóa	ɔ ɔ p i ɾ ɛ k ɔ a
uásagáti	w a s a g a t i
uayúpona	w a j u p ɔ n a
ye̠té̠a	j ɛ t ɛ a
kolétipi	k ɔ ɺ e t i p i
kolé̠me̠te̠	k ɔ ɺ ɛ m ɛ t ɛ
kālimakíya	k a a ɺ i m a k i j a
sikotitile̥	s i k ɔ t i t i ɺ ɨ
korétipi	k ɔ ɾ e t i p i
kālimakía	k a a ɺ i m a k i a
bagalí	b a g a ɺ i
kúli	k u ɺ i
únaku	u n a k u
oxpé̥	ɔ h p ɨ
máhi	m a h i
īpí	i i p i
ḥé̥he̥	h ɨ h ɨ
maxĩẽ́	m a h ĩ ẽ
mē̠ní	m ɛ ɛ n i
nī́ya	n i i j a
mē̠'ní	m ɛ ɛ ʔ n i
pā́sikope̠a	p a a s i k ɔ p ɛ a
pāsikope̠a	p a a s i k ɔ p ɛ a
dix̯sípuliru	d i h s i p u ɺ i ɾ u
dihe̠kóa	d i h ɛ k ɔ a
ōlērótsualide̥xpe̥	ɔ ɔ ɺ e e ɾ ɔ ts u a ɺ i d ɨ h p ɨ
ōlēlótsualide̥xpe̥	ɔ ɔ ɺ e e ɺ ɔ ts u a ɺ i d ɨ h p ɨ
mā́ta	m a a t a
tsē̠róa	ts ɛ ɛ ɾ ɔ a
tā́pioto	t a a p i ɔ t ɔ
muákahe̠	m u a k a h ɛ
gaxbī́tsolo	g a h b i i ts ɔ ɺ ɔ
gaxbī́tsoro	g a h b i i ts ɔ ɾ ɔ
me̥líni	m ɨ ɺ i n i
me̥hā́x̯u	m ɨ h a a tʃ u
yimī́nyu	j i m i i ɲ u
húmaa	h u m a a
yimī́nye̥	j i m i i ɲ ɨ
kōré̠	k ɔ ɔ ɾ ɛ
bíitu	b i i t u
kṓpahike̠	k ɔ ɔ p a h i k ɛ
yé̠hē̠re̥	j ɛ h ɛ ɛ ɾ ɨ
kōlé̠	k ɔ ɔ ɺ ɛ
tsū́līro	ts u u ɺ i i ɾ ɔ
sā́ya	s a a j a
imī́kakuruli	i m i i k a k u ɾ u ɺ i
uhḗ̠pe̠ma	u h ɛ ɛ p ɛ m a
toatíe̥	t ɔ a t i ɨ
kuhía	k u h i a
pṓnape̥	p ɔ ɔ n a p ɨ
kuía	k u j a
nix̯ti	n i h t i
pē̠kapulúa	p ɛ ɛ k a p u ɺ u a
yakotitī́ri	j a k ɔ t i t i i ɾ i
mix̯pi	m i h p i
uipí	w i p i
uipía	w i p i a
míhi	m i h i
mí'hi	m i ʔ h i
axpí	a h p i
gā́pi	g a a p i
taā́biku	t a a a b i k u
tā́ḥire̥	t a a h i ɾ ɨ
axbí	a h b i
sopálikiuahóa	s ɔ p a ɺ i k i w a h ɔ a
tse̥liname	ts ɨ ɺ i n a m e
ā́lau̯a	a a ɺ a w a
hā́raua	h a a ɾ a w a
kakáu	k a k a u
kakáua	k a k a w a
iyotū́li	i j ɔ t u u ɺ i
yex̯sā́nika	j e h s a a n i k a
se̥x̯sé̥	s ɨ h s ɨ
híhia	h i h i a
táe̥ne̠	t a ɨ n ɛ
six̯sí	s i h s i
pē̠yóuero	p ɛ ɛ j ɔ w e ɾ ɔ
gé̥ege̥le̥	g ɨ e g ɨ ɺ ɨ
^iipáya	i i p a j a
ké̥la̠	k ɨ ɺ ɑ
^iipáy	i i p a j e
be̥ā́li	b ɨ a a ɺ i
āliamā́ni	a a ɺ i a m a a n i
uáli	w a ɺ i
kē̠tayú	k ɛ ɛ t a j u
hé̠āse̥	h ɛ a a s ɨ
yeuáge̥	j e w a g ɨ
kē̠tayé̥	k ɛ ɛ t a j ɨ
uā́lix̯ú	w a a ɺ i tʃ u
oatá	ɔ a t a
tsõláli	ts ɔ̃ ɺ a ɺ i
tx̯óle̠i̯	tʃ ɔ ɺ ɛ i
mīdyóabe̠	m i i dʒ ɔ a b ɛ
ḥuḥé̠a	h u h ɛ a
kīpútsu̠ru̠	k i i p u ts ʊ ɾ ʊ
tx̯ólo	tʃ ɔ ɺ ɔ
hotoitahá	h ɔ t ɔ i t a h a
hḗ̠ne̠ke̠alo	h ɛ ɛ n ɛ k ɛ a ɺ ɔ
tólo	t ɔ ɺ ɔ
sṓro	s ɔ ɔ ɾ ɔ
sṓlo	s ɔ ɔ ɺ ɔ
yulá	j u ɺ a
yuláme̠	j u ɺ a m ɛ
yutáka	j u t a k a
i'ótāre̥	i ʔ ɔ t a a ɾ ɨ
yurá	j u ɾ a
iotáḥae	j ɔ t a h a e
tsā́liri	ts a a ɺ i ɾ i
te̠x̯té̠i̯	t ɛ h t ɛ i
te̠té̠lika	t ɛ t ɛ ɺ i k a
otantá	ɔ t a n t a
uaxpī́kioli	w a h p i i k i ɔ ɺ i
buxtā́nima	b u h t a a n i m a
oā́malimakíaka	w a a a ɺ i m a k i a k a
buxtā́lima	b u h t a a ɺ i m a
ṅāmí	ŋ a a m i
āmía	a a m i a
kiámi	k i a m i
tsiuā́li	ts i w a a ɺ i
múḥua	m u h u a
ōlḗ̠ri	ɔ ɔ ɺ ɛ ɛ ɾ i
ṓle̠i̯	ɔ ɔ ɺ ɛ i
keaudyé̥	k e a u dʒ ɨ
koiní	k ɔ i n i
keaudyú	k e a u dʒ u
mix̯tsóka	m i h ts ɔ k a
póe̠ro	p ɔ ɛ ɾ ɔ
mé̠ne̠lika	m ɛ n ɛ ɺ i k a
ualipoké̠ase̥	w a ɺ i p ɔ k ɛ a s ɨ
bārá	b a a ɾ a
īyáka	i i j a k a
kumarú	k u m a ɾ u
kumalú	k u m a ɺ u
mānyayapúa	m a a ɲ a j a p u a
ī́oa	i i ɔ a
yātúlika	j a a t u ɺ i k a
yātúlike	j a a t u ɺ i k e
nuxpí	n u h p i
diakútsi	d i a k u ts i
kutía	k u t i a
kúisi	k u i s i
diakúti	d i a k u t i
tsīrālī́e̠	ts i i ɾ a a ɺ i i ɛ
yohó	j ɔ h ɔ
tápe̠ri	t a p ɛ ɾ i
yee̥látaāx̯e̥	j e ɨ ɺ a t a a a tʃ ɨ
miyitatábe̠	m i j i t a t a b ɛ
hu̠rú̠a	h ʊ ɾ ʊ a
ṓsetsalino	ɔ ɔ s e ts a ɺ i n ɔ
aé̥	a ɨ
āí	a a i
ābí	a a b i
āé̥	a a ɨ
ṓyuxku	ɔ ɔ j u h k u
yaxsá	j a h s a
saxtsée̥le̥	s a h ts e ɨ ɺ ɨ
yapube̠hó	j a p u b ɛ h ɔ
kṓkiare̥	k ɔ ɔ k i a ɾ ɨ
sasá	s a s a
be̥xkániama	b ɨ h k a n i a m a
moábulebu	m ɔ a b u ɺ e b u
móāsi	m ɔ a a s i
moákahe̠a	m ɔ a k a h ɛ a
mṓai̯e̥	m ɔ ɔ a j ɨ
yémãõ	j e m ã ɔ̃
yee̥mã́ã	j e ɨ m ã ã
yimákipako	j i m a k i p a k ɔ
símako	s i m a k ɔ
oā́liliga	ɔ a a ɺ i ɺ i g a
e̥mé̥	ɨ m ɨ
é̥me̥de̠ka	ɨ m ɨ d ɛ k a
imía	i m i a
tapoī́híasi	t a p ɔ i i h i a s i
uaḥuá	w a h u a
dahābé̥lokole̠ge̠	d a h a a b ɨ ɺ ɔ k ɔ ɺ ɛ g ɛ
tsīniā́mi	ts i i n i a a m i
ne̥mé̥dīka	n ɨ m ɨ d i i k a
kirḗ̠yayi	k i ɾ ɛ ɛ j a j i
ké̥lisi	k ɨ ɺ i s i
ekā́noke̠	e k a a n ɔ k ɛ
dē̠ne̠mú	d ɛ ɛ n ɛ m u
tsōlópa	ts ɔ ɔ ɺ ɔ p a
tsōrópa	ts ɔ ɔ ɾ ɔ p a
yamá	j a m a
yámabṓle̠	j a m a b ɔ ɔ ɺ ɛ
yamága	j a m a g a
yā́ma	j a a m a
yámabṓre̠	j a m a b ɔ ɔ ɾ ɛ
yá'ma	j a ʔ m a
góamãẽ	g ɔ a m ã ẽ
kṓyau̯i	k ɔ ɔ j a w i
ué̠xkoa	w ɛ h k ɔ a
tu̠pána	t ʊ p a n a
wé̠xkoa	w ɛ h k ɔ a
tupā́na	t u p a a n a
uaxtí	w a h t i
uáti	w a t i
ṓpire̠koa	ɔ ɔ p i ɾ ɛ k ɔ a
ā́ti	a a t i
buī́ribu	b u i i ɾ i b u
dī́oho	d i i ɔ h ɔ
tsīniní	ts i i n i n i
túdyai	t u dʒ a i
mirē̠yádyu	m i ɾ ɛ ɛ j a dʒ u
mirē̠yádye̥	m i ɾ ɛ ɛ j a dʒ ɨ
tsé̠āli	ts ɛ a a ɺ i
ge̥láli	g ɨ ɺ a ɺ i
uhḗ̠ge̥yée̥	u h ɛ ɛ g ɨ j e ɨ
tā́lie̠ka	t a a ɺ i ɛ k a
loké̥kie̥	ɺ ɔ k ɨ k i ɨ
uhḗ̠ge̥dye̥	u h ɛ ɛ g ɨ dʒ ɨ
ohomeníni	ɔ h ɔ m e n i n i
mo'mḗ̠ni	m ɔ ʔ m ɛ ɛ n i
bagáli	b a g a ɺ i
íax̯i	j a tʃ i
ī́ātx̯i	i i a a tʃ i
ī́āx̯i	i i a a tʃ i
díai̯yi	d i a i j i
dyī́masa	dʒ i i m a s a
ye̠ué̠koa	j ɛ w ɛ k ɔ a
yaime̠ko	j a i m ɛ k ɔ
dex̯kópolesiriro	d e h k ɔ p ɔ ɺ e s i ɾ i ɾ ɔ
amálaka	a m a ɺ a k a
buxhuá	b u h u a
bútu	b u t u
ókoe̠pakoa	ɔ k ɔ ɛ p a k ɔ a
okókuli	ɔ k ɔ k u ɺ i
útu	u t u
mēā́galu	m e e a a g a ɺ u
uaī́a	w a i i a
uaī́ye	w a i i j e
īrirí	i i ɾ i ɾ i
ilíx̯u	i ɺ i tʃ u
miókube̠	m i ɔ k u b ɛ
móuku	m ɔ u k u
ṓdiáka	ɔ ɔ d i a k a
e̥kā́lani	ɨ k a a ɺ a n i
bālá	b a a ɺ a
boxhoáa	b ɔ h ɔ a a
póoma	p ɔ ɔ m a
pōpóa	p ɔ ɔ p ɔ a
oálōre̠	ɔ a ɺ ɔ ɔ ɾ ɛ
ihíayeā́ika	i h i a j e a a i k a
diákala	d i a k a ɺ a
kómāna	k ɔ m a a n a
kumálaka	k u m a ɺ a k a
kúmālo	k u m a a ɺ ɔ
ge̥lánunu	g ɨ ɺ a n u n u
itálonyaka	i t a ɺ ɔ ɲ a k a
gā'mī́no	g a a ʔ m i i n ɔ
gámu	g a m u
āmó	a a m ɔ
sikiaū́lo	s i k i a u u ɺ ɔ
ámu	a m u
ā'mé̥	a a ʔ m ɨ
gā́migobe̠	g a a m i g ɔ b ɛ
āmokópe̠a	a a m ɔ k ɔ p ɛ a
tsíāli	ts i a a ɺ i
amúa	a m u a
pe̠áme̠ye̠	p ɛ a m ɛ j ɛ
uaḥúa	w a h u a
bā́li	b a a ɺ i
báai̯	b a a i
mambaā́ye̠é̠	m a m b a a a j ɛ ɛ
opãkiá	ɔ p ã k i a
bā́ri	b a a ɾ i
mé̠ne̠pikai	m ɛ n ɛ p i k a i
sólika	s ɔ ɺ i k a
uálē̠ka	w a ɺ ɛ ɛ k a
minimã́ẽndiuli	m i n i m ã ẽ n d i u ɺ i
mīrándia	m i i ɾ a n d i a
uai̯híaliāre̥	w a i h i a ɺ i a a ɾ ɨ
de̥xkápuliru	d ɨ h k a p u ɺ i ɾ u
nikapé̠pe̠tū́liaka	n i k a p ɛ p ɛ t u u ɺ i a k a
tsaá	ts a a
né̠ko	n ɛ k ɔ
ne̠kóa	n ɛ k ɔ a
mé̠ko	m ɛ k ɔ
ne̠kó	n ɛ k ɔ
dix̯síporo	d i h s i p ɔ ɾ ɔ
kope̠re̠ká	k ɔ p ɛ ɾ ɛ k a
náige̠	n a i g ɛ
