Grapheme	IPA	Examples	Languages	Frequence	Codepoints
e̠e̠	e̠e̠	kóalime̠e̠be̠, mé̥e̥pe̠e̠_yee̥uaatoho	Yupua, Yahuna	2	U+0065 U+0320 U+0065 U+0320
e̥oa$	e̥oa	tsé̥me̥oa	Yupua	2	U+0065 U+0325 U+006f U+0061 U+0024
ue̯	ue̯	wiī́ue̯x̯ka, yuxké̥ue̯x̯ka	Desano	2	U+0075 U+0065 U+032f
^ia	ia	iamaí, iateanié̠l	Yupua, Koretu	2	U+005e U+0069 U+0061
ay	ay	inayḗ̠ná, kē̠tayé̥	Yahuna, Desano	2	U+0061 U+0079
^yiy	yiy	yiyā́nye̥, yiyā́nyu	Yahuna	2	U+005e U+0079 U+0069 U+0079
õ	õ	hõkiahá, tsõláli	Koretu, Desano	2	U+00f5
ioaa$	ioaa	dé̠ko_uālioaa, dé̠ko_oā́lioaa	Yupua	2	U+0069 U+006f U+0061 U+0061 U+0024
ĩĩ	ĩː	ue̠ré̠nĩĩni, nĩĩní	Desano	2	U+0129 U+0129
eau	eau	keaudyé̥, keaudyú	Yahuna	2	U+0065 U+0061 U+0075
^ḗ	<?>	ḗge̥le	Yupua	1	U+005e U+1e17
iaū́	iaū́	sikiaū́lo	Koretu	1	U+0069 U+0061 U+016b U+0301
ai̯á	ai̯á	disx̯sípulitsai̯ánidex̯ka	Desano	1	U+0061 U+0069 U+032f U+00e1
oay	oay	sikoayéke̥	Koretu	1	U+006f U+0061 U+0079
úe̥	úe̥	kúe̥le̥	Yupua	1	U+00fa U+0065 U+0325
^uayú	uayú	uayúpona	Desano	1	U+005e U+0075 U+0061 U+0079 U+00fa
ẽ́	ẽ́	komẽ́pero	Desano	1	U+1ebd U+0301
aoi̯e$	aoi̯e	simaoi̯e	Koretu	1	U+0061 U+006f U+0069 U+032f U+0065 U+0024
úua̯	úua̯	muhúua̯tsutsī́ge̥le̥	Yupua	1	U+00fa U+0075 U+0061 U+032f
áu̠	áu̠	simáu̠kiakio̯	Koretu	1	U+00e1 U+0075 U+0320
ao	ao	simaoráso	Koretu	1	U+0061 U+006f
áo	áo	nyīkáome̠	Yahuna	1	U+00e1 U+006f
^õã	õã	õãdiíle̥	Yupua	1	U+005e U+00f5 U+00e3
íye̠$	íye̠	nyikalíye̠	Yahuna	1	U+00ed U+0079 U+0065 U+0320 U+0024
ẽ	ẽ	ṹẽdiíle̥	Yupua	1	U+1ebd
íiye̠$	íiye̠	nyikalíiye̠	Yahuna	1	U+00ed U+0069 U+0079 U+0065 U+0320 U+0024
úye̠	úye̠	siukúye̠hu	Koretu	1	U+00fa U+0079 U+0065 U+0320
yĩã́ẽ	yĩã́ẽ	nyĩã́ẽdoxka	Desano	1	U+0079 U+0129 U+00e3 U+0301 U+1ebd
yẽã́ẽ	yẽã́ẽ	nyẽã́ẽdoxka	Desano	1	U+0079 U+1ebd U+00e3 U+0301 U+1ebd
^ā̃	ã̄	ā̃nyã́nyaru	Desano	1	U+005e U+0101 U+0303
^uy	uy	uyī̃ṅã́ẽõã	Desano	1	U+005e U+0075 U+0079
úio$	úio	sikoxúio	Koretu	1	U+00fa U+0069 U+006f U+0024
áua	áua	ge̥apáuasu	Yupua	1	U+00e1 U+0075 U+0061
au̯íya$	au̯íya	dipau̯íya	Yahuna	1	U+0061 U+0075 U+032f U+00ed U+0079 U+0061 U+0024
õ$	õ	ue̥nṹõ	Desano	1	U+00f5 U+0024
^yau	yau	yaué̥	Yupua	1	U+005e U+0079 U+0061 U+0075
eẽ́	ẽ́ː	komeẽ́pero	Desano	1	U+0065 U+1ebd U+0301
^uayu	uayu	uayume̠ká	Yahuna	1	U+005e U+0075 U+0061 U+0079 U+0075
au̯iía$	au̯iía	yatau̯iía	Yahuna	1	U+0061 U+0075 U+032f U+0069 U+00ed U+0061 U+0024
íya$	íya	kālimakíya	Yahuna	1	U+00ed U+0079 U+0061 U+0024
oū	oū	sítoūkia	Koretu	1	U+006f U+016b
ũũ	ũ	tsũũpínũõã	Desano	1	U+0169 U+0169
ũõã$	ũõã	tsũũpínũõã	Desano	1	U+0169 U+00f5 U+00e3 U+0024
ȭ	<?>	uaxpĩ́ȭpe̠	Yupua	1	U+022d
^ye̠$	ye̠	ye̠	Desano	1	U+005e U+0079 U+0065 U+0320 U+0024
ō$	ō	bū́lugō	Yupua	1	U+014d U+0024
^yaúe$	yaúe	yaúe	Yupua	1	U+005e U+0079 U+0061 U+00fa U+0065 U+0024
iyá$	iyá	yē̠niyá	Yahuna	1	U+0069 U+0079 U+00e1 U+0024
yie̠	yie̠	liuḗ̠yie̠ká	Yahuna	1	U+0079 U+0069 U+0065 U+0320
yía$	yía	yē̠nyía	Yahuna	1	U+0079 U+00ed U+0061 U+0024
^yáoa	yáoa	yáoama	Yupua	1	U+005e U+0079 U+00e1 U+006f U+0061
ye̠$	ye̠	é̥ye̠	Desano	1	U+0079 U+0065 U+0320 U+0024
^yáui	yáui	yáuike̥tsi	Yupua	1	U+005e U+0079 U+00e1 U+0075 U+0069
úu	úu	yanúuli	Yupua	1	U+00fa U+0075
'l	l	ṓ'lé̠a	Yahuna	1	U+0027 U+006c
íui̯	íui̯	ihíui̯tsia	Yahuna	1	U+00ed U+0075 U+0069 U+032f
yia	yia	dyiaká	Yahuna	1	U+0079 U+0069 U+0061
iaya$	iaya	diaya	Yupua	1	U+0069 U+0061 U+0079 U+0061 U+0024
^r	r	ritāre̥	Koretu	1	U+005e U+0072
ū́yi$	ū́yi	bū́yi	Yupua	1	U+016b U+0301 U+0079 U+0069 U+0024
'ḥ	'ḥ	mé̥'ḥo	Koretu	1	U+0027 U+1e25
au̯a	au̯a	omau̯alía	Yahuna	1	U+0061 U+0075 U+032f U+0061
^au	au	aué̠	Yupua	1	U+005e U+0061 U+0075
'ia$	ia	hā́'ia	Koretu	1	U+0027 U+0069 U+0061 U+0024
^aiya	aiya	aiyagá	Yahuna	1	U+005e U+0061 U+0069 U+0079 U+0061
íaye	íaye	ihíayeā́ika	Yahuna	1	U+00ed U+0061 U+0079 U+0065
ī́h	ī́h	tapoī́híasi	Koretu	1	U+012b U+0301 U+0068
úaa$	úaː	uasúaa	Yupua	1	U+00fa U+0061 U+0061 U+0024
ai̯$	ai̯	uahoágamai̯	Yupua	1	U+0061 U+0069 U+032f U+0024
^aia	aia	aianámati	Koretu	1	U+005e U+0061 U+0069 U+0061
aai̯	aːi̯	málaai̯dyu	Yahuna	1	U+0061 U+0061 U+0069 U+032f
e̠áue̠$	e̠áue̠	yamimage̠áue̠	Yupua	1	U+0065 U+0320 U+00e1 U+0075 U+0065 U+0320 U+0024
aiya	aiya	yámigakaiyagá	Yahuna	1	U+0061 U+0069 U+0079 U+0061
ai̯yá	ai̯yá	mamadai̯yáge̥	Desano	1	U+0061 U+0069 U+032f U+0079 U+00e1
aiá	aiá	haiámamāke̥	Koretu	1	U+0061 U+0069 U+00e1
úua$	úua	áue̠túua	Yupua	1	U+00fa U+0075 U+0061 U+0024
aia	aia	haiakulísi	Koretu	1	U+0061 U+0069 U+0061
aía$	aía	kaía	Yahuna	1	U+0061 U+00ed U+0061 U+0024
iái	iái	kiáire̥	Koretu	1	U+0069 U+00e1 U+0069
'ía$	ía	ka'ía	Yahuna	1	U+0027 U+00ed U+0061 U+0024
e̠e̥	e̠e̥	tite̠e̥mé̥ma	Yupua	1	U+0065 U+0320 U+0065 U+0325
ē̃	ẽ̄	nē̃ē̃́	Desano	1	U+0113 U+0303
ē̃́$	ẽ́	nē̃ē̃́	Desano	1	U+0113 U+0303 U+0301 U+0024
ē̃ē̃	ẽ̄ẽ̄	nē̃ē̃no	Desano	1	U+0113 U+0303 U+0113 U+0303
íai	íai	kíaito	Koretu	1	U+00ed U+0061 U+0069
^é̠	é̠	é̠oa	Yahuna	1	U+005e U+00e9 U+0320
^uiíya$	uiíya	uiíya	Yahuna	1	U+005e U+0075 U+0069 U+00ed U+0079 U+0061 U+0024
^uiía$	uiía	uiía	Yahuna	1	U+005e U+0075 U+0069 U+00ed U+0061 U+0024
^uiua	uiua	uiuahoa	Yahuna	1	U+005e U+0075 U+0069 U+0075 U+0061
iy	iy	diyóa	Yahuna	1	U+0069 U+0079
á̠u$	á̠u	ká̠u	Koretu	1	U+00e1 U+0320 U+0075 U+0024
ũẽ́$	ũẽ́	pũẽ́	Desano	1	U+0169 U+1ebd U+0301 U+0024
^io	io	iotáḥae	Koretu	1	U+005e U+0069 U+006f
ae$	ae	iotáḥae	Koretu	1	U+0061 U+0065 U+0024
'ó	ó	i'ótāre̥	Koretu	1	U+0027 U+00f3
iía$	íːa	piía	Yahuna	1	U+0069 U+00ed U+0061 U+0024
