ID	CONCEPT	CONCEPT_IN_SOURCE	DATASET	DOCULECT	GLOTTOCODE	VALUE	FORM	TOKENS	LID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
1163	sew	sew	hubercolumbian	H-Tanimuca	tani1257	puʔarika	puʔarika	p u ʔ a r i k a	hubercolumbian-Tanimuca-357_sew-1	1 7 1 7 5 7 1 7	AXBYBYBZ	PYHARIKA	3	3.P.C 3.Y.V 3.H.C 3.A.V 3.R.C 3.I.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	puʔarika	0	1886
1821	sew	sew	kochtukanoan	K-Desano	desa1247	e̠ālí	e̠ālí	ɛ a a ɺ i	kochtukanoan-Desano-778_sew-1	7 7 7 5 7	XYYBZ	EAARI	4	4.E.V 4.A.V 4.A.V 4.R.C 4.I.V	1.5 1.3 1.3 1.75 0.8	ɛaaɺi	0	1887
1309	shade	shade	kochtukanoan	K-Desano	desa1247	yex̯sébe̠ré̠no	yex̯sébe̠ré̠no	j e h s e b ɛ ɾ ɛ n ɔ	kochtukanoan-Desano-123_shade-1	6 7 3 3 7 1 7 5 7 4 7	AXMBYBYBYBZ	JEHSEPERENU	4	4.J.C 4.E.V 4.H.c 4.S.C 4.E.V 4.P.C 4.E.V 4.R.C 4.E.V 4.N.C 4.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	jehsebɛɾɛnɔ	0	1888
1953	shade	shade	kochtukanoan	K-Yupua	jupu1235	se̥sáma	se̥sáma	s ɨ s a m a	kochtukanoan-Yupua-123_shade-1	3 7 3 7 4 7	AXBYBZ	SISAMA	7	7.S.C 7.I.V 7.S.C 7.A.V 7.M.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	sɨsama	0	1891
1954	shade	shade	kochtukanoan	K-Yupua	jupu1235	(t)six̯(t)sí	six̯sí	s i h s i	kochtukanoan-Yupua-123_shade-2	3 7 3 3 7	AXMBZ	SIHSI	7	7.S.C 7.I.V 7.H.c 7.S.C 7.I.V	2.0 1.5 1.1 1.75 0.8	sihsi	1	1891
1955	shade	shade	kochtukanoan	K-Yupua	jupu1235	(t)se̥x(t)sé̥	se̥xsé̥	s ɨ h s ɨ	kochtukanoan-Yupua-123_shade-3	3 7 3 3 7	AXMBZ	SIHSI	7	7.S.C 7.I.V 7.H.c 7.S.C 7.I.V	2.0 1.5 1.1 1.75 0.8	sɨhsɨ	1	1891
2499	shade	shade	kochtukanoan	K-Yahuna	yahu1241	pítánanalika	pítánanalika	p i t a n a n a ɺ i k a	kochtukanoan-Yahuna-123_shade-1	1 7 1 7 4 7 4 7 5 7 1 7	AXBYBYBYBYBZ	PITANANARIKA	6	6.P.C 6.I.V 6.T.C 6.A.V 6.N.C 6.A.V 6.N.C 6.A.V 6.R.C 6.I.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pitananaɺika	0	1890
2500	shade	shade	kochtukanoan	K-Yahuna	yahu1241	tsapé̠ualalalika	tsapé̠ualalalika	ts a p ɛ w a ɺ a ɺ a ɺ i k a	kochtukanoan-Yahuna-123_shade-2	2 7 1 7 6 7 5 7 5 7 5 7 1 7	AXBYBYBYBYBYBZ	CAPEWARARARIKA	6	6.C.C 6.A.V 6.P.C 6.E.V 6.W.C 6.A.V 6.R.C 6.A.V 6.R.C 6.A.V 6.R.C 6.I.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	tsapɛwaɺaɺaɺika	0	1890
2501	shade	shade	kochtukanoan	K-Yahuna	yahu1241	tsapé̠ualalanika	tsapé̠ualalanika	ts a p ɛ w a ɺ a ɺ a n i k a	kochtukanoan-Yahuna-123_shade-3	2 7 1 7 6 7 5 7 5 7 4 7 1 7	AXBYBYBYBYBYBZ	CAPEWARARANIKA	6	6.C.C 6.A.V 6.P.C 6.E.V 6.W.C 6.A.V 6.R.C 6.A.V 6.R.C 6.A.V 6.N.C 6.I.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	tsapɛwaɺaɺanika	0	1890
2502	shade	shade	kochtukanoan	K-Yahuna	yahu1241	pitálalalika	pitálalalika	p i t a ɺ a ɺ a ɺ i k a	kochtukanoan-Yahuna-123_shade-4	1 7 1 7 5 7 5 7 5 7 1 7	AXBYBYBYBYBZ	PITARARARIKA	6	6.P.C 6.I.V 6.T.C 6.A.V 6.R.C 6.A.V 6.R.C 6.A.V 6.R.C 6.I.V 6.K.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pitaɺaɺaɺika	0	1890
3165	shade	shade	kochtukanoan	K-Koretu	cure1236	sihā́tiri	sihā́tiri	s i h a a t i ɾ i	kochtukanoan-Koretu-123_shade-1	3 7 3 7 7 1 7 5 7	AXBYYBYBZ	SIHAATIRI	5	5.S.C 5.I.V 5.H.C 5.A.V 5.A.V 5.T.C 5.I.V 5.R.C 5.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	sihaatiɾi	0	1889
